Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Promotions,Reviews,Monthly_Revenue
15,19.562213287890625,11.041387293067558,Japanese,16.920954790046572,1,93,123.7338348733186
90,19.84278635191993,0.0633569716140347,Italian,18.828503437776742,1,70,285.8297504742884
60,30.388969870067925,8.315950013749003,Mexican,20.67088254495696,0,98,267.6772311841093
12,10.361216165182013,17.793040660351327,Mexican,25.763606110980124,0,78,45.963395322879
13,22.72446214472478,14.616360574236175,Italian,19.215465575435577,0,61,208.29015311676108
24,28.5352299286248,11.96225258738036,Japanese,36.85624290574948,0,77,185.7354753426949
84,23.666980075876836,0.0576250333122918,Italian,22.919587327074737,0,23,333.0678659425963
85,40.14795336202077,8.166126855189022,Japanese,21.969280172042424,0,26,437.7259276681585
35,27.708678671181083,10.525569206764054,American,37.18819114307336,0,64,166.45325535712567
54,43.84981168076197,8.253506521667934,American,25.73045940396861,0,85,185.98784071595392
65,49.06900954650315,0.8832387235566252,American,30.86203935643869,1,12,273.3105158772174
81,14.912431273829352,8.242618605255432,American,35.53955139196542,0,40,308.4835922258233
43,24.51777087383968,11.299687153505072,Italian,11.157772669734683,0,38,166.25040574049342
28,27.487735854289745,19.006255058611835,Japanese,20.38413134833914,0,1,237.5759043527661
42,31.08096384847448,19.635973865212552,American,31.25427327010781,0,47,239.91430630098176
84,26.52124698590788,7.747851713373186,Japanese,16.58397094798299,0,43,267.611594256392
84,34.69407029651897,6.66814644318221,Japanese,42.82178590983949,1,79,378.5244391757666
67,24.370029916649823,7.717490057902319,American,21.920274287750217,0,30,396.71284895467545
78,17.725314583491723,2.126874525115492,American,33.15861281183217,1,93,240.514295186622
60,31.06313866637175,3.013522154197548,Italian,12.150892466479334,0,60,282.1886139960266
78,27.289631355700493,4.310597375826637,American,43.17540600569498,0,96,205.16181952395203
68,29.242475353763457,18.94071975477446,Mexican,42.31462582735925,1,11,233.1435954114649
95,20.35930606407255,11.050272295654503,Italian,26.059904422595054,0,27,294.5890404969666
81,30.19379527572071,11.973848046381947,Japanese,36.15147004497847,0,90,426.67880197918015
75,31.93998886605907,6.048949565787599,Italian,44.273413988927054,1,38,297.07782897886585
95,27.69639745922678,3.7807904945506334,Italian,12.30964317868144,0,85,421.326229156426
17,31.414324073706435,10.979608988832837,Mexican,24.31019053174857,0,91,162.88115055275122
47,49.22307200719953,5.362780401910268,Mexican,32.497174964716834,0,20,186.86822128515664
22,20.845897460007397,11.665330356260908,American,21.8168814525506,1,3,140.97212868739592
34,33.38682801770355,6.26412522140348,Italian,22.072374786507748,1,77,113.2507774290806
86,17.78233292741204,12.889405542420674,Japanese,13.012057343938787,0,38,256.15926464611687
60,32.66301448685674,0.7187734984310667,American,47.9408131005566,1,42,155.76409628208015
65,20.659935734835287,2.447535146503559,Mexican,28.050664562924577,1,98,199.98073094017747
23,16.151645986721242,15.640306698659344,Japanese,10.31066568615875,1,69,247.2031428743703
10,28.915678625327285,16.844614926878958,Japanese,39.20006884323446,1,60,130.31390737059968
84,40.361433821554,7.424141877799966,Italian,11.50790899659411,1,82,413.004618999386
38,21.333717930623266,6.807601853333498,Japanese,20.470044005379297,1,71,162.10108304972658
12,42.74828228476931,11.265778619076292,American,10.961649494657513,0,66,133.95670218487763
51,36.815418334176485,16.66634142946025,Mexican,42.5259062067194,0,72,395.5429115647941
71,41.14287756203005,2.9847555590035224,American,20.144510834388328,1,47,309.35909561664124
51,42.212598694316206,17.629015593500426,Italian,42.12979618659225,1,40,280.4429943906745
25,26.51174202427009,12.623412919134129,American,39.76114321390707,0,73,149.1359037046276
51,33.21900026866699,18.85967633632085,Mexican,30.554661028530862,0,55,361.54363058139234
79,48.34508709252882,9.92332768226439,Mexican,11.842522547279096,1,30,443.9866368408522
70,26.130454444953276,13.253290261187107,Mexican,26.09228165529488,1,46,317.97998485420044
30,46.71009956685509,2.088082594961629,Mexican,47.43304533611291,1,65,255.7997732435808
71,16.433018763127603,1.6441412742356332,Japanese,41.560913781925365,1,24,157.69610694798826
60,31.694546599189533,9.119585515198738,Japanese,37.56484361983033,0,36,253.1879957003037
11,34.03193785768792,7.814567312272265,Italian,48.03274639665726,1,91,163.92911097852456
66,21.18814153885917,7.423232295714836,American,19.2127689873151,1,62,218.63187281444024
99,12.687015996628404,13.908312966561065,Italian,28.503741884206125,1,19,436.78065640336433
78,12.98777671031416,3.3816214071198503,Mexican,31.783817948429977,1,97,196.92833628427476
98,38.8755051170774,13.528527246767846,Italian,20.603251373542903,1,55,429.5654261018779
12,29.759259485234505,13.034212958219369,Italian,14.867812269066892,0,75,116.79045260804511
15,34.25483777733503,18.976919116622607,Mexican,22.386754816051702,0,36,188.1066822747658
12,37.62240929782563,0.8918981674592308,Mexican,42.60288402703228,1,38,73.04853700216181
46,10.210152742335396,2.626988162898134,Italian,20.98026694028313,1,52,120.22694975970931
48,48.43122205947908,6.4216219417410025,American,20.03561266136419,0,38,252.73545427718983
10,37.32735425781925,12.04291288104962,Italian,12.246480396132524,0,25,236.44968114716332
65,26.90756453584758,11.292581019945263,Italian,15.741790237750717,0,83,312.0211560509249
49,41.35330213675448,0.8970713604713731,Japanese,44.08849564806696,0,94,149.91371040141212
26,29.375937902961624,17.5972535472232,Italian,38.98785017047298,0,27,278.70189999209106
21,31.402788757346343,13.519645511727107,Japanese,46.86053567629671,0,22,130.03478654940906
23,13.81046031818505,7.684792402747627,American,39.737406958247774,1,47,131.82270910969277
21,47.77214539831319,16.52078103333144,Italian,11.074706161797412,0,45,336.39503974413486
77,14.263149205146972,16.502613353322303,Japanese,12.525196368318658,1,29,308.96826970143417
16,28.35955952068052,3.2736760293060296,Italian,25.931221963562177,0,55,154.87213726605052
14,29.067819001646367,12.803966231192476,Japanese,16.33792148759624,0,96,151.67789277040683
93,19.302054334615203,9.09837779015174,Mexican,20.84569013522352,0,50,389.5409923751674
79,14.793160080705851,3.656144733138009,Mexican,36.173858386114304,1,18,255.5759363531565
45,35.489263191579475,16.89578872572043,Mexican,22.828980978398302,1,85,213.3767241079442
71,40.0961248015529,9.986676699572364,Japanese,24.46588379364178,0,18,262.1708566625489
53,28.63251228080994,8.977061433494164,Japanese,21.601761127119463,1,18,373.80836873281584
77,19.23316756616048,18.80897011472345,American,15.333072653703006,0,20,413.9285081494115
45,34.29225793050685,1.2937378703026314,Japanese,37.215376550500885,0,66,233.36036236453336
72,45.7968576491136,16.407550148979468,American,37.55242014359949,0,24,376.3739539765264
66,23.74241899102816,8.048932748673378,American,12.228273444609808,1,52,283.8639331650151
98,35.811593501028675,17.639843394432717,American,48.23372588700655,0,54,491.21836073959946
95,36.27935430257972,2.6338687694407703,Japanese,37.8476980120436,0,0,339.6173813546062
61,41.03218943171824,12.081433541424383,American,45.93421100670661,1,6,316.3952224506531
34,21.090625827870944,2.525075655852269,American,38.03741460071997,0,22,216.45659725202083
40,44.58744768134161,9.971415990114185,Mexican,38.72671790242055,1,12,217.9615587964396
78,24.59192876578118,6.836074109843651,Italian,24.34645452105837,1,10,286.838931339945
83,41.82041486785613,19.99427608311828,Italian,39.63477073540872,0,61,539.3716035220132
37,32.26886339133465,16.235044337314196,Japanese,21.57763579872833,0,16,152.3316353913624
42,31.5962335800885,3.347194662772559,Mexican,27.71317481537297,1,57,249.33906449851003
76,17.61299451276271,18.617747441216167,Japanese,42.68764202906564,0,88,410.6450050044127
31,38.55129819421304,10.5100924393728,American,26.496122418714645,0,57,218.4735501031867
18,11.63016424369891,18.58853388946228,Italian,11.986459658388757,0,32,170.06318100308934
90,34.59801052610618,17.649188809121995,Japanese,10.584359884355315,0,38,459.3053087019797
62,17.886165062915094,10.544523616796004,Mexican,18.05625236853409,0,22,284.7019045986046
25,12.89665088585366,4.777133208038553,Italian,14.964294708551096,0,92,273.8694173518326
79,10.203285592721038,19.59564915709044,American,28.900617712783408,0,70,408.16582062085234
72,29.06707313321473,2.352879763186504,Italian,36.310615330904,0,94,302.69675875317034
18,40.17014177375452,13.26014692283552,Japanese,35.77940246082376,0,35,188.83830184314115
42,36.006694017729124,3.82381402929578,Italian,24.53091185595598,1,85,249.1364350325978
97,31.59124247658532,7.741575206712616,Italian,15.22018238549759,1,44,292.7543309473953
60,31.064951890758383,1.1894313773456155,American,44.96054685234863,1,93,250.4347175951806
80,43.07195311236313,9.909042069219636,Italian,43.261631453506624,0,87,385.93864537720646
32,30.923388983271387,14.661023797199867,Italian,10.285683270729802,1,96,86.55486645231294
53,36.78410464535848,14.300774377013676,American,12.36200577833088,1,1,292.97732668942496
93,22.959602444271987,12.299564806822648,Japanese,44.387183403213314,1,91,374.6946211016602
61,49.60593491002588,7.590058067494372,Japanese,39.793003021196526,0,86,293.1873092270694
27,12.093555031460332,16.534293198620368,Mexican,10.546467418824378,1,25,239.99789379928265
45,33.51537484441548,10.34478763428664,Mexican,29.05289408827617,1,95,209.3143248311597
49,12.985192573483268,16.595262405752898,Italian,41.108699562902025,1,17,229.95311985157767
92,46.747111879740174,3.010429833268271,Mexican,31.702933078638225,1,58,403.843445476415
16,36.43280473197002,11.495591085288304,Mexican,43.45662386319427,1,59,47.08816125987352
71,14.91107558650834,16.96095582261544,Japanese,42.82208557022875,0,83,399.7027714156685
13,30.091533898501204,2.042990593150762,American,20.22974806193201,1,46,142.27400386801267
70,26.95779251653208,3.046591789290709,Italian,33.50507946460435,0,57,300.2114315850234
56,33.49814416936297,14.96383811957995,American,20.696611138884307,0,69,288.7082460773276
45,17.844523987738114,1.8751384129111328,Italian,27.81638084423147,1,11,174.602805550598
33,44.057945502050615,7.354673016102198,American,26.73383229975032,1,35,162.17932389074122
62,22.88378808877341,8.949362826449157,Mexican,10.990595103046047,0,63,232.87142874172065
47,34.62968087768971,13.492157058324324,American,21.254024874153664,0,95,291.6590379997292
11,31.18646714620324,6.44216008458371,American,31.102545959976798,1,98,57.31941976618465
70,31.732020934531533,10.043072199239738,Japanese,24.00794724092876,1,32,461.9567431256439
84,46.31464521850064,14.486349393533224,Italian,28.921100133720827,1,1,417.1586067140847
88,18.78042100323835,4.344181953824212,Mexican,15.679770374083386,0,30,292.4033827266311
49,34.339456506391656,7.702402398050001,Mexican,14.97687547407574,0,32,250.2667552589137
63,11.951343266926925,2.5965289790343515,American,30.69173928609013,0,18,83.06369090332899
42,22.034124334130205,13.51695492928673,Japanese,30.514515175079644,1,7,239.0709130516524
25,10.04480445920438,16.874746528134487,Italian,14.596253734476411,1,53,220.36788069071875
56,19.2098467371148,4.292561465176057,Japanese,14.614512052228154,0,72,255.538031610272
59,34.221526305795315,11.919776843669636,Japanese,16.19430296315285,1,55,216.9907777652259
89,47.18423509687957,15.867880286106956,Italian,23.169224613655786,1,33,503.3291659914058
38,14.57069200222751,5.21426599839833,Japanese,47.26791894724676,0,89,98.06199095972109
51,42.62994574017124,5.606689215830418,Mexican,32.47741014078653,1,76,405.1891925742858
82,36.67886067963629,14.691558462428263,Mexican,29.56909018999677,0,86,470.9541907901299
71,38.15784540554038,0.2206322852493158,Japanese,26.07172540437698,1,54,243.0342553069918
26,37.218265054373006,8.904922245695763,Mexican,47.14387526122553,0,52,193.27787997075723
79,32.931775127176024,16.02733831639038,American,42.70493513217944,1,99,262.7776379554041
64,18.18178372677853,17.293207842808354,Italian,21.02146268563405,1,56,249.75718102091756
86,25.82060679396061,3.4369696265418903,Mexican,26.16966568428157,1,26,277.7392203295096
47,33.48246830804604,12.115106062781134,Mexican,27.74253381994011,0,54,261.1605951757711
97,42.550651532783455,16.13178684652554,Japanese,14.446035191332474,0,6,485.5397628832025
42,39.734112915744966,9.033936384633654,Mexican,48.78463755617352,1,52,256.6323988901934
39,28.583943865432406,18.96216640342885,Italian,38.17341263828722,1,38,302.7671014149516
17,20.409334718061093,12.269462772783529,Japanese,43.03763676447673,0,39,181.1958148473277
22,40.28237070444894,4.683688936309713,Italian,17.71482274758457,0,55,249.751545604682
44,35.600118673476544,1.986044055073859,Mexican,43.54435550135849,1,21,275.0092102554749
48,24.678243168192022,5.430940948224848,Italian,13.879150500643815,1,25,157.92604964973927
77,39.24094685833126,2.559764170671728,Mexican,46.16541410312762,0,20,398.5663824938782
73,26.700243361115685,15.833999769067033,Mexican,23.05128606275786,0,13,308.82839736118666
75,47.695480764089325,17.395263533634214,Mexican,14.256470516113785,0,77,454.4659268161842
26,44.72643216206188,6.28121589985464,Japanese,25.890858913618388,0,73,278.4208386366257
71,11.77506654132947,14.794606641710812,Japanese,32.575815213559586,0,19,288.90482530929967
22,35.150592728237804,12.92192350010126,Mexican,34.66850830587104,1,7,197.1620769614193
18,22.58386227237644,18.452461161755792,American,13.24656897854858,1,77,89.2171390944111
37,45.06661511449798,10.850916067908456,Japanese,21.34431693668545,1,27,285.24567458073466
88,14.356733673869256,9.529667675565854,Japanese,11.21663523231872,1,80,373.30181170110814
21,45.301339432784,9.009306033156363,Mexican,38.84529429427295,1,55,217.06834314891609
68,38.980674055944725,4.693068835516987,Italian,34.40784035943338,0,83,304.3613308951955
17,13.585053566197685,19.89297283119996,American,20.189948293468756,0,30,268.2640559085248
63,42.1590791760359,1.7768049017512877,American,49.75135901512688,1,22,230.3129583624437
42,18.80388856324388,1.9002339798460928,Mexican,15.889082976420678,1,19,194.472399372092
22,48.29081051933302,6.246982037710271,Italian,29.10968505598144,1,71,198.8866089758086
67,11.804027088812926,3.232396225717429,Mexican,27.88804128865752,1,33,234.234798660025
91,17.20041749890894,18.51274660050672,Japanese,22.716186950931345,1,7,343.71711182976026
25,33.23728213051191,4.013020348075225,Japanese,28.009451466904693,1,74,205.67379605146527
96,35.35034254880709,16.96031770498803,American,20.181621716866445,0,86,496.6536867303593
59,15.564647765722476,19.765505420002626,Italian,34.19357717450325,0,45,325.1018810547656
10,13.037336414784884,15.604261268602048,Italian,46.713635323742125,0,10,142.67447688474232
99,19.5476012520407,4.886798815729323,Mexican,32.81637965614566,0,84,319.86550120704896
56,30.643160817744665,6.736810037222066,Italian,24.41576160216445,1,24,270.0704893438939
61,17.137838609110887,4.385479238477514,Japanese,12.556037681934953,0,29,155.12098453073554
95,47.26357953275959,2.4486779671788206,Italian,40.37243420600821,1,86,480.754513825222
14,33.731145932407145,17.64517112189695,American,36.91023944987696,0,72,223.4694811533048
26,44.56864710696676,11.193768896758796,Mexican,28.01107241766363,1,22,291.878328603592
26,12.107353439089144,1.9512502047859948,Mexican,15.560088207963108,1,81,184.7136561283742
36,39.31595673365367,19.602179848275338,Japanese,46.94659350198611,1,88,336.290828482072
17,46.50997851516515,9.720310059550798,Mexican,23.14232599543194,1,20,131.23504161848345
24,26.580183368145107,1.3850861257171987,Italian,34.814850084948844,0,81,128.44033631082158
63,46.02289204945543,9.73195324487506,Mexican,46.46058903463403,1,17,363.4186198379388
68,32.777740710540016,3.216963479154924,American,47.742965761407085,1,42,245.17022504457856
91,31.593711156327736,15.65163879702676,Mexican,42.88912450308042,1,74,424.04176038968296
31,44.08774133388031,6.393336648810895,Mexican,47.31826502112909,1,82,234.3481645797796
46,36.06077867209059,18.213531588702796,Italian,14.76426143506865,1,48,344.61227064791734
48,30.559834712349,2.77742652793034,American,34.688783319778324,1,80,238.6512822430806
78,49.14525149602122,3.54341850543731,Japanese,46.74086411082072,0,58,460.1955812970906
15,20.212260989137278,16.53629947592838,Italian,18.139519782212503,1,29,171.9434907534744
73,12.80118822989884,13.283758290108349,Japanese,29.061058833289493,0,5,372.35588834354127
63,48.326831720157216,5.512246773578909,American,36.86350971755704,0,9,295.9440033670058
71,34.247548542446864,12.757541853272675,American,49.73060785718986,1,7,338.4156567452159
85,49.85343103226897,3.3770841335537227,Mexican,42.81296352588804,1,61,374.1600239258101
56,41.91957288573533,11.159614775652798,American,14.728896482898396,0,41,318.3322992185376
93,19.09429200384395,15.415612365277596,Italian,43.49798380333847,1,77,298.46702631843374
16,42.030787485195006,3.9168162517383776,Japanese,40.71879912247326,0,46,264.0589653178834
59,11.87781428591252,7.133419482835295,Italian,43.1660256113656,0,48,158.63420684227563
34,37.20527724413806,6.8074149261152535,American,36.720130029720565,0,5,241.9126098799611
58,16.495275786492837,9.557568960444849,Japanese,49.900725246907,0,60,271.8847397421104
44,21.103486905176723,11.970631513687312,Mexican,24.678456280288017,1,92,251.84569805542708
85,32.83618007376657,5.379178916529421,Italian,29.29096000326174,1,30,383.554871276089
58,38.97141232505648,5.253512851973035,Mexican,42.865662791158215,0,11,296.2868416796187
14,43.17329620565135,6.604855586728107,Mexican,14.760852179725642,1,5,87.77458858327913
48,26.73599154670611,11.926430377207367,Italian,25.31532589136734,1,37,249.8414054864724
48,40.83937170128542,17.976947763604947,Japanese,49.43072998342964,1,16,287.56431522025537
43,16.36982953117058,10.626330411361185,Italian,47.4689822341396,0,76,229.57920841101196
40,22.485922267857884,11.585327076410536,Mexican,44.4267128715554,1,95,191.901281374618
70,43.00530706771189,4.416052595712783,Italian,18.984097602995394,1,59,348.19057312560795
56,19.09403932119948,4.539293887307283,Mexican,40.90683952512666,0,15,239.02774386530567
88,44.93346646895391,14.609927219175804,Japanese,42.87009667941562,1,11,436.2816218882916
54,44.54072562451828,19.19653036151858,Mexican,42.150209440470505,1,28,371.94379248765546
54,16.371497809712206,15.850427839258384,Mexican,21.66773802886344,1,10,233.6028429573463
68,26.37911412020816,0.8458349844536239,Japanese,19.439864236369505,1,15,260.4753969958772
78,17.179892936953337,15.263105825177789,American,32.14234130649432,1,95,434.8650083449583
11,20.10034998753529,19.324868214135964,Mexican,18.765042586832035,0,54,139.36555009627804
29,33.89096289721364,11.156403838584028,Japanese,31.2443798535011,0,97,50.91547366388923
64,36.80384138443767,10.571562194443942,Japanese,28.26922371543361,0,11,367.4060483156573
77,12.460681049569402,7.580542524381948,American,44.14618195764448,1,47,343.494580233603
14,33.79106549507745,8.77076977074871,American,30.26743163416011,1,35,190.91144480991156
96,45.89744592184815,10.141022077308822,American,32.474551592380735,0,91,353.85197560295217
30,31.459254059383788,17.191304632938916,Japanese,35.07873738114866,0,97,277.28291959528497
93,33.71247966613691,9.339359999272215,Mexican,13.62237870403682,1,35,377.5466092087516
88,34.39327221994778,1.873448414118204,American,40.01323103279824,1,51,287.731801933807
79,31.589304750397712,14.741931008641023,Italian,30.56327683064741,1,84,437.0783908284376
38,48.580818890808345,5.676568940470405,Mexican,10.88343381204719,0,33,341.97023699879287
65,18.24744658073705,8.322428561421846,Italian,44.78725293374651,1,24,340.03548898281934
61,32.63106479866242,3.5674516861465966,American,22.252039875501502,0,28,275.4038573637021
38,14.91883234118507,19.54904235980736,Italian,48.08382606611695,0,79,119.74283059111868
56,42.74940016297081,0.8601390373387896,Italian,43.99785983780754,0,97,348.6973191780488
53,13.541736424544728,17.239738168085445,Italian,27.602843002659935,0,87,251.3293656957186
99,44.72491253962124,17.54523525652359,Mexican,29.694492140785037,0,92,518.3270032091394
27,34.1583148829005,2.6629000835619387,Italian,21.829902503800827,0,56,218.40982645553729
76,15.253405056375122,8.996844159451186,Japanese,31.425380023502974,0,37,315.4251889483194
44,47.30359637701012,2.8191925504353854,Mexican,16.87506048543697,0,87,252.1820120929691
63,46.75002089042986,16.04261116255175,Mexican,23.31123475843182,1,86,326.2939592138757
65,36.20037355328434,16.580354650909822,American,30.66510367417101,1,92,335.6903100622943
48,20.7964488956878,18.592338457513684,Japanese,21.25571928688652,0,89,277.1865625114059
69,33.961174591093055,16.502643918574076,Mexican,12.695074860877028,1,71,424.50348022930746
27,10.9209041915055,0.711417340710967,American,38.28061177090363,1,76,178.5729589841844
72,15.029660472265952,3.031685857397599,American,27.14577116834127,1,22,246.74985639351164
15,39.043823442496034,0.7604369647490983,Mexican,22.35209101398461,1,46,113.21078859943978
68,24.15485506244998,12.751065289404597,Italian,21.07479877968049,1,14,328.65513309755346
43,16.990937713095086,17.3788850455829,American,29.496252124032303,1,40,280.9039375394803
69,31.27429918752696,15.806754717202962,Japanese,37.76069656422968,0,37,294.33559700046425
36,24.52236848780362,16.839407429934173,Italian,49.249663898218486,0,46,238.00658973838492
21,27.69195049523641,1.4848174597677288,Mexican,23.346435625347706,1,78,111.08730772086828
44,41.21982830184351,2.216159243596141,Japanese,39.04445037378548,0,13,196.3214948631085
34,25.363624459649984,15.149637695788346,American,30.32566874660777,1,97,240.5400056995792
43,34.77991005630351,10.967640723913078,Japanese,17.314581070194897,0,51,323.61035988014254
10,33.08740946846993,6.009787712008647,American,15.333778692654816,1,31,-7.627381568388813
64,48.53387331281596,7.123712942351883,Mexican,19.690286303390696,1,43,295.50685956762766
36,38.21542376448814,16.834467234893523,Mexican,47.76835353384431,0,19,333.6194123017336
75,38.99306239496234,14.597206176969568,Japanese,22.98436674040646,1,11,351.0214661352706
11,32.62033389291895,5.061168656015691,American,33.761978622672444,1,87,-28.977808785917876
72,20.34753322791632,14.785894703295464,Japanese,33.32511293811477,1,92,297.44588244631893
29,47.97227188231063,3.305882219403491,Japanese,29.148194318620902,0,85,300.8587017334796
56,44.04697043411083,13.337088420285356,American,28.88993995780634,1,69,278.8031741187989
61,36.48448040426258,2.214968906379162,American,31.81961361979343,1,18,325.154648058228
66,37.72775763290724,10.740149767027168,Japanese,21.185452739728248,0,54,334.13799569221544
10,46.34805237077472,16.123917620075815,Italian,45.60946487183084,1,75,228.94379530482263
71,34.12789608707918,3.879077345355497,Japanese,33.9135994738274,1,87,299.63450755508694
25,42.86051789629764,0.3600017789042997,Mexican,34.7681726916862,1,24,225.6358839261896
31,31.05996776615124,0.489968965353047,Italian,34.38023564019933,0,80,158.33999632935786
38,31.214175749130245,15.783216931774628,Italian,43.68427449934047,0,9,219.19057498312537
